Date,Open,High,Low,Close,Volume
2020-09-01 00:00:00-04:00,294.71,301.49,292.71,295.5,16279949
2020-09-02 00:00:00-04:00,298.88,303.6,293.05,302.5,21809532
2020-09-03 00:00:00-04:00,295.99,297.6,283.63,291.12,29320692
2020-09-04 00:00:00-04:00,287.25,289,271.14,282.625,28382672
2020-09-08 00:00:00-04:00,271.28,279.3,269.42,270.93,22385524
2020-09-09 00:00:00-04:00,275.77,278.48,271.35,273.7,20803210
2020-09-10 00:00:00-04:00,273.32,279.16,267.0319,268.0259,20124392
2020-09-11 00:00:00-04:00,270.06,271.39,262.64,266.6,17925051
2020-09-14 00:00:00-04:00,270.95,276.64,265.7,266.14,21738594
2020-09-15 00:00:00-04:00,270.67,274.52,269.3,272.46,17175903
2020-09-16 00:00:00-04:00,267.29,272.44,261.79,263.6,27814894
2020-09-17 00:00:00-04:00,258.28,261.5,250.19,254.87,28542348
2020-09-18 00:00:00-04:00,258.405,259.2,250.05,252.29,23650916
2020-09-21 00:00:00-04:00,247.54,249.95,244.13,248.04,21743576
2020-09-22 00:00:00-04:00,253.31,255.32,248.22,254.73,27618568
2020-09-23 00:00:00-04:00,255.26,257.9921,248.15,249.02,16687178
2020-09-24 00:00:00-04:00,246.5,252.24,245.62,249.52,17292547
2020-09-25 00:00:00-04:00,249.4,255.75,246.61,254.82,16333161
2020-09-28 00:00:00-04:00,259.4,259.6,254.8208,256.91,14348908
2020-09-29 00:00:00-04:00,257.81,263.27,256.9,261.79,17917754
2020-09-30 00:00:00-04:00,261.98,266.085,260.1,261.8,15143419
2020-10-01 00:00:00-04:00,265.35,268.33,264.8,266.63,17363592
2020-10-02 00:00:00-04:00,261.18,265.15,259.18,259.91,13047141
2020-10-05 00:00:00-04:00,262.2,264.865,260.8401,264.65,11117472
2020-10-06 00:00:00-04:00,262.01,265.69,258.24,258.53,15310065
2020-10-07 00:00:00-04:00,259.2,260.18,254.82,258.01,20736923
2020-10-08 00:00:00-04:00,259.63,264.62,259.1488,263.7051,14448896
2020-10-09 00:00:00-04:00,264.52,264.75,262.17,264.49,12400060
2020-10-12 00:00:00-04:00,270.2,280.18,267.87,275.75,27501400
2020-10-13 00:00:00-04:00,276.18,279.1,273.39,276.06,14781999
2020-10-14 00:00:00-04:00,277.62,278.75,271.5,271.73,12644328
2020-10-15 00:00:00-04:00,267.68,269.04,263.67,266.72,12962770
2020-10-16 00:00:00-04:00,267.375,271.37,265.3,265.93,13314712
2020-10-19 00:00:00-04:00,265.53,268.55,259.88,261.53,10543727
2020-10-20 00:00:00-04:00,263.09,269.7,262.88,267.58,15678260
2020-10-21 00:00:00-04:00,279.56,283.05,276.37,278.7,22000862
2020-10-22 00:00:00-04:00,279.87,282.45,275.04,278.12,14321045
2020-10-23 00:00:00-04:00,278.8024,285.24,276.82,284.83,15714933
2020-10-26 00:00:00-04:00,283.16,285.23,274.26,277.12,16801519
2020-10-27 00:00:00-04:00,278.76,284.51,276.31,283.29,13692570
2020-10-28 00:00:00-04:00,278.79,278.79,267.26,267.55,19025766
2020-10-29 00:00:00-04:00,276.55,283.6,273.78,279.82,24121501
2020-10-30 00:00:00-04:00,274.5,276.7,259.1,263.75,42184495
2020-11-02 00:00:00-05:00,264.7,270.47,257.34,261.48,23473725
2020-11-03 00:00:00-05:00,263.16,270.03,260.88,265.08,15396707
2020-11-04 00:00:00-05:00,281,288.94,278.62,287.45,29987921
2020-11-05 00:00:00-05:00,291.8965,297.38,288.95,294.715,21054834
2020-11-06 00:00:00-05:00,293.95,294.6,288.06,293.41,11926170
2020-11-09 00:00:00-05:00,290.1,292.58,278.53,278.58,20347744
2020-11-10 00:00:00-05:00,273.1,274,264,272.43,24003063
2020-11-11 00:00:00-05:00,273.48,278.4,272.48,276.35,12995178
2020-11-12 00:00:00-05:00,277.18,279.75,274.43,275.08,10765432
2020-11-13 00:00:00-05:00,277.73,277.76,273.1,277.27,7943494
2020-11-16 00:00:00-05:00,275.05,278.4895,274.63,276.44,5680297
2020-11-17 00:00:00-05:00,277.68,277.68,273.29,274.95,13735446
2020-11-18 00:00:00-05:00,274.52,277.3889,271.84,271.85,10310525
2020-11-19 00:00:00-05:00,271.025,273.47,269.19,272.83,11239019
2020-11-20 00:00:00-05:00,272.56,273,269.41,269.7,15376295
2020-11-23 00:00:00-05:00,270.89,270.9471,264.53,268.32,18118397
2020-11-24 00:00:00-05:00,268.49,277.8199,267.87,276.82,15502326
2020-11-25 00:00:00-05:00,278.14,280.18,272.65,275.59,11312163
2020-11-27 00:00:00-05:00,277.39,279.13,274.82,277.8,7178906
2020-11-30 00:00:00-05:00,276.03,277.7,271.01,277.46,12184623
2020-12-01 00:00:00-05:00,279.16,289.3,278.96,286.51,19113315
2020-12-02 00:00:00-05:00,285.36,291.78,280.825,287.56,15904492
2020-12-03 00:00:00-05:00,286.25,286.65,281.07,281.69,11226479
2020-12-04 00:00:00-05:00,280.3,283.46,279.3,279.7,8779114
2020-12-07 00:00:00-05:00,279.19,288.49,278.2,285.58,11324390
2020-12-08 00:00:00-05:00,286.01,286.4272,281.55,283.24,9029811
2020-12-09 00:00:00-05:00,283.66,287.63,271.75,277.92,22595403
2020-12-10 00:00:00-05:00,275.535,278.73,271.86,276.93,16372195
2020-12-11 00:00:00-05:00,274.53,276.48,270.25,273.58,13559723
2020-12-14 00:00:00-05:00,273.3722,277.22,271.56,273.92,12923540
2020-12-15 00:00:00-05:00,274.83,276.08,267.47,275.68,19709982
2020-12-16 00:00:00-05:00,274.76,277.86,272.51,275.7,12511476
2020-12-17 00:00:00-05:00,277.07,280.44,273.61,274.48,14041276
2020-12-18 00:00:00-05:00,275.775,278,271.14,276.15,16300000
2020-12-21 00:00:00-05:00,272.978,274.67,267.79,272.95,13200136
2020-12-22 00:00:00-05:00,271.5,271.5,264.63,267.17,15904410
2020-12-23 00:00:00-05:00,266.89,272.1699,266.23,268.05,13128242
2020-12-24 00:00:00-05:00,268.875,270.4,266.2,267.32,6222157
2020-12-28 00:00:00-05:00,268.74,277.27,265.66,277,21557606
2020-12-29 00:00:00-05:00,276.95,280.51,276.28,276.78,15723232
2020-12-30 00:00:00-05:00,277.95,278.08,271.71,271.88,10365805
2020-12-31 00:00:00-05:00,272,277.09,269.81,273.2,11199425
2021-01-04 00:00:00-05:00,274.78,275,265.2,268.94,12460207
2021-01-05 00:00:00-05:00,268.29,272.4,268.2111,270.97,8053296
2021-01-06 00:00:00-05:00,262,267.75,260.01,263.24,21446415
2021-01-07 00:00:00-05:00,265.9,271.61,264.78,268.63,13968342
2021-01-08 00:00:00-05:00,268.31,268.95,263.18,267.54,16730340
2021-01-11 00:00:00-05:00,260.48,263.47,255.9,256.81,27236030
2021-01-12 00:00:00-05:00,256.63,259.72,250.3,250.91,24074761
2021-01-13 00:00:00-05:00,251.55,253.95,249.2,251.64,16896303
2021-01-14 00:00:00-05:00,253.4,255.03,244.61,245.71,27927382
2021-01-15 00:00:00-05:00,247.9,253.86,247.16,251.36,22675147
2021-01-19 00:00:00-05:00,256.9,262.2,252.7201,261.08,25191870
2021-01-20 00:00:00-05:00,268.93,270.32,263.6,267.35,22539886
2021-01-21 00:00:00-05:00,269.26,273.6,267.4901,272.89,17034362
2021-01-22 00:00:00-05:00,272.01,278.47,272,274.53,19132340
2021-01-25 00:00:00-05:00,278.14,280.1,271.51,278,17646954
2021-01-26 00:00:00-05:00,278.1398,285.39,277.81,282.02,17018388
2021-01-27 00:00:00-05:00,282.53,283.45,268.1201,272.39,27484121
2021-01-28 00:00:00-05:00,277.18,286.79,264.7,265,35383730
2021-01-29 00:00:00-05:00,265.3,266.56,254.85,258.33,28139673
2021-02-01 00:00:00-05:00,259.52,264.17,254.91,261.98,19629047
2021-02-02 00:00:00-05:00,264,268.85,263.27,267,15002887
2021-02-03 00:00:00-05:00,265.62,269.2,263.84,266.68,13254318
2021-02-04 00:00:00-05:00,267.01,268.16,264,266.63,14013929
2021-02-05 00:00:00-05:00,266.8,269.17,265.67,268.1433,10059039
2021-02-08 00:00:00-05:00,268.75,269.86,265,266.58,12032922
2021-02-09 00:00:00-05:00,266.44,273.39,265.75,269.41,13778153
2021-02-10 00:00:00-05:00,272.4465,273.7999,267.72,271.94,12452712
2021-02-11 00:00:00-05:00,271.89,273.58,268.49,270.43,11926999
2021-02-12 00:00:00-05:00,270.52,271.18,268.34,270.56,7996772
2021-02-16 00:00:00-05:00,270.8,276.6,270.05,273.97,13233004
2021-02-17 00:00:00-05:00,271.24,273.97,269.58,273.51,11919218
2021-02-18 00:00:00-05:00,269.565,271.95,266.03,269.39,14223451
2021-02-19 00:00:00-05:00,269.86,270.27,260.15,261.6185,22950211
2021-02-22 00:00:00-05:00,257.95,263.07,257.53,260.33,15567869
2021-02-23 00:00:00-05:00,259.5,267.46,254.96,265.86,20722117
2021-02-24 00:00:00-05:00,262.325,266.38,258.39,264.34,14151577
2021-02-25 00:00:00-05:00,262.3,266.94,254.04,254.67,16971760
2021-02-26 00:00:00-05:00,256.47,265.55,256.47,257.2899,20820898
2021-03-01 00:00:00-05:00,260.82,266.65,257.9039,264.39,19336849
2021-03-02 00:00:00-05:00,265.78,266.71,258.65,258.95,12871564
2021-03-03 00:00:00-05:00,260.29,260.9899,255.1,255.44,13804129
2021-03-04 00:00:00-05:00,256.47,266.49,253.5,257.59,29890550
2021-03-05 00:00:00-05:00,260.67,265.45,255.61,264.28,24755187
2021-03-08 00:00:00-05:00,265.55,265.58,255.05,255.44,16231657
2021-03-09 00:00:00-05:00,261.175,268.53,259.81,265.74,18617900
2021-03-10 00:00:00-05:00,268.64,268.97,262.87,264.91,12775519
2021-03-11 00:00:00-05:00,268.11,277.9,267.82,273.87,19536393
2021-03-12 00:00:00-05:00,269.14,269.74,264.02,268.44,18935898
2021-03-15 00:00:00-04:00,269.08,275.96,268.5,273.75,14712652
2021-03-16 00:00:00-04:00,276.085,282.14,274.8,279.13,20483868
2021-03-17 00:00:00-04:00,275.705,286.23,275.41,284.02,19743048
2021-03-18 00:00:00-04:00,279.87,285.1899,278.28,278.55,17084257
2021-03-19 00:00:00-04:00,281.22,292.8,275,290.06,33858406
2021-03-22 00:00:00-04:00,290.45,299.705,286.7501,293.54,25013898
2021-03-23 00:00:00-04:00,293.15,298,289.81,290.59,20010683
2021-03-24 00:00:00-04:00,291,291.72,281.16,282.14,16935845
